name_muni,abbrev_state,lon,lat
Sampaio,TO,-47.9188422465569,-5.32965922968455
Sandolândia,TO,-49.8761421718822,-12.4020930931243
Santa Fé Do Araguaia,TO,-48.9737723324173,-7.09379290438857
Santa Maria Do Tocantins,TO,-47.8483323629139,-8.82440556342337
Santa Rita Do Tocantins,TO,-49.2956634493381,-10.971007313982
Santa Rosa Do Tocantins,TO,-48.108401219327,-11.3983940906895
Santa Tereza Do Tocantins,TO,-47.7418152243195,-10.2994104560999
Santa Terezinha Do Tocantins,TO,-47.7506270914783,-6.47226612003353
São Bento Do Tocantins,TO,-47.9395160478856,-5.97480369197903
São Félix Do Tocantins,TO,-46.6784517010789,-10.0689115256138
São Miguel Do Tocantins,TO,-47.5953221624592,-5.54262754149597
São Salvador Do Tocantins,TO,-48.3651566218983,-12.577919753025
São Sebastião Do Tocantins,TO,-48.3319762456193,-5.24065350410778
São Valério,TO,-48.1705651917612,-11.8041492542033
Silvanópolis,TO,-48.0074814155935,-11.1320752095244
Sítio Novo Do Tocantins,TO,-47.6864109631941,-5.62996841713321
Sucupira,TO,-48.834907491011,-12.1133891099232
Taguatinga,TO,-46.5557780884309,-12.3870609377032
Taipas Do Tocantins,TO,-46.9946600758267,-12.1400883991922
Talismã,TO,-49.0483732742074,-12.6828828728173
Palmas,TO,-48.1535962627766,-10.2185663843924
Tocantínia,TO,-48.1403417341081,-9.60316170970227
Tocantinópolis,TO,-47.5376094855237,-6.25710573276731
Tupirama,TO,-48.2594048770678,-8.93831767065193
Tupiratins,TO,-48.2109017097546,-8.35669733553568
Wanderlândia,TO,-48.0019141506914,-6.91122994172327
Xambioá,TO,-48.4514233059056,-6.54533230381557
Açailândia,MA,-47.3324028559987,-4.78598391602674
Afonso Cunha,MA,-43.297393707118,-4.21479735710387
Água Doce Do Maranhão,MA,-42.1664588660889,-2.94710772218084
Alcântara,MA,-44.5315693044169,-2.3940385062949
Aldeias Altas,MA,-43.383408175537,-4.50279566727046
Altamira Do Maranhão,MA,-45.4955847595877,-4.12221759620052
Alto Alegre Do Maranhão,MA,-44.3935474291117,-4.20933142100147
Alto Alegre Do Pindaré,MA,-46.0076628416554,-3.88047836461546
Alto Parnaíba,MA,-46.2131667035612,-9.5083976411528
Amapá Do Maranhão,MA,-45.9479449287239,-1.67295785446559
Amarante Do Maranhão,MA,-46.581925179583,-5.27844339308895
Anajatuba,MA,-44.5903048487429,-3.25048855321698
Anapurus,MA,-43.1077580817137,-3.543968512026
Apicum-Açu,MA,-45.0764869228866,-1.53193274644828
Araguanã,MA,-45.7872541565991,-3.07909532344284
Araioses,MA,-42.0172081560701,-2.97305585563743
Arame,MA,-45.9492978742409,-5.03132922022316
Arari,MA,-44.7273703009719,-3.53335654926239
Axixá,MA,-44.1032841541678,-2.81975064672138
Bacabal,MA,-44.7580305880491,-4.17102133356825
Bacabeira,MA,-44.36738965376,-2.93297188842053
